FYR,AMOUNT,DEPTNAME,SUBDEPTNAME,VENDORNAME
Fiscal 13/14,1644.6,Public Works,Public Works-Sewer & Storm Drain Maintenance,"MSC INDUSTRIAL SUPPLY CO, INC."
Fiscal 13/14,1661.77,Public Works,Public Works-Sewer & Storm Drain Maintenance,MUNICIPAL EMERGENCY SERVICES INC
Fiscal 13/14,750,Public Works,Public Works-Sewer & Storm Drain Maintenance,MUNSON PUMP SERVICES
Fiscal 13/14,2274.76,Public Works,Public Works-Sewer & Storm Drain Maintenance,NAPA AUTO & TRUCK PARTS
Fiscal 13/14,44838.98,Public Works,Public Works-Sewer & Storm Drain Maintenance,NEVADA SEAL & PUMP LLC
Fiscal 13/14,1679.73,Public Works,Public Works-Sewer & Storm Drain Maintenance,NORTH AMERICAN EMBROIDERY
Fiscal 13/14,96262.48,Public Works,Public Works-Sewer & Storm Drain Maintenance,NV ENERGY
Fiscal 13/14,320,Public Works,Public Works-Sewer & Storm Drain Maintenance,NWEA
Fiscal 13/14,58.51,Public Works,Public Works-Sewer & Storm Drain Maintenance,OFFICEMAX
Fiscal 13/14,4990,Public Works,Public Works-Sewer & Storm Drain Maintenance,OHLIN SALES INC
Fiscal 13/14,5811.19,Public Works,Public Works-Sewer & Storm Drain Maintenance,OPTICAL ROBOTICS LLC
Fiscal 13/14,2295,Public Works,Public Works-Sewer & Storm Drain Maintenance,ORR DITCH & EXTENSIONS WATER
Fiscal 13/14,3135,Public Works,Public Works-Sewer & Storm Drain Maintenance,OSTS INC
Fiscal 13/14,5722,Public Works,Public Works-Sewer & Storm Drain Maintenance,OXBORROW TRUCKING INC
Fiscal 13/14,607.37,Public Works,Public Works-Sewer & Storm Drain Maintenance,PETTY CASH-CORP YARD
Fiscal 13/14,515.57,Public Works,Public Works-Sewer & Storm Drain Maintenance,"R&E FASTENERS, INC."
Fiscal 13/14,63.21,Public Works,Public Works-Sewer & Storm Drain Maintenance,RAY MORGAN CO. INC.
Fiscal 13/14,3192.66,Public Works,Public Works-Sewer & Storm Drain Maintenance,RED WING SHOE STORE
Fiscal 13/14,5327.74,Public Works,Public Works-Sewer & Storm Drain Maintenance,RENO BUSINESS INTERIORS
Fiscal 13/14,50,Public Works,Public Works-Sewer & Storm Drain Maintenance,RENO DRAIN & OIL SERVICE
Fiscal 13/14,31.38,Public Works,Public Works-Sewer & Storm Drain Maintenance,RENO PAINT MART INC
Fiscal 13/14,195.28,Public Works,Public Works-Sewer & Storm Drain Maintenance,RENO SALVAGE CO
Fiscal 13/14,67.25,Public Works,Public Works-Sewer & Storm Drain Maintenance,SAFETY ON SITE
Fiscal 13/14,1484,Public Works,Public Works-Sewer & Storm Drain Maintenance,SAFETY-KLEEN CORP
Fiscal 13/14,4688.01,Public Works,Public Works-Sewer & Storm Drain Maintenance,SEWER EQUIPMENT COMPANY OF AMERICA
Fiscal 13/14,219,Public Works,Public Works-Sewer & Storm Drain Maintenance,SIERRA CHEMICAL COMPANY
Fiscal 13/14,89,Public Works,Public Works-Sewer & Storm Drain Maintenance,SIERRA DIVING CENTER
Fiscal 13/14,1473.34,Public Works,Public Works-Sewer & Storm Drain Maintenance,SIERRA REPAIR & SHARPENING INC
Fiscal 13/14,530.33,Public Works,Public Works-Sewer & Storm Drain Maintenance,SIERRA WELDING SUPPLY
Fiscal 13/14,3187.9,Public Works,Public Works-Sewer & Storm Drain Maintenance,SILVER STATE BARRICADE & SIGN
Fiscal 13/14,5755,Public Works,Public Works-Sewer & Storm Drain Maintenance,SOUTHLAND TOOL MFG
Fiscal 13/14,639.98,Public Works,Public Works-Sewer & Storm Drain Maintenance,SPORTSMAN'S WAREHOUSE
